Page,IliadLine
urn:cite2:hmt:msApages.v1:12v,urn:cts:greekLit:tlg0012.tlg001.msA:1.33
urn:cite2:hmt:msApages.v1:12v,urn:cts:greekLit:tlg0012.tlg001.msA:1.43
urn:cite2:hmt:msApages.v1:13r,urn:cts:greekLit:tlg0012.tlg001.msA:1.53
urn:cite2:hmt:msApages.v1:13r,urn:cts:greekLit:tlg0012.tlg001.msA:1.59
urn:cite2:hmt:msApages.v1:13r,urn:cts:greekLit:tlg0012.tlg001.msA:1.68
urn:cite2:hmt:msApages.v1:13r,urn:cts:greekLit:tlg0012.tlg001.msA:1.74
urn:cite2:hmt:msApages.v1:13v,urn:cts:greekLit:tlg0012.tlg001.msA:1.76
urn:cite2:hmt:msApages.v1:13v,urn:cts:greekLit:tlg0012.tlg001.msA:1.85
urn:cite2:hmt:msApages.v1:14r,urn:cts:greekLit:tlg0012.tlg001.msA:1.106
urn:cite2:hmt:msApages.v1:14r,urn:cts:greekLit:tlg0012.tlg001.msA:1.121
urn:cite2:hmt:msApages.v1:14v,urn:cts:greekLit:tlg0012.tlg001.msA:1.130
urn:cite2:hmt:msApages.v1:14v,urn:cts:greekLit:tlg0012.tlg001.msA:1.148
urn:cite2:hmt:msApages.v1:15r,urn:cts:greekLit:tlg0012.tlg001.msA:1.172
urn:cite2:hmt:msApages.v1:15v,urn:cts:greekLit:tlg0012.tlg001.msA:1.188
urn:cite2:hmt:msApages.v1:16r,urn:cts:greekLit:tlg0012.tlg001.msA:1.206
urn:cite2:hmt:msApages.v1:16r,urn:cts:greekLit:tlg0012.tlg001.msA:1.215
urn:cite2:hmt:msApages.v1:16r,urn:cts:greekLit:tlg0012.tlg001.msA:1.219
urn:cite2:hmt:msApages.v1:16r,urn:cts:greekLit:tlg0012.tlg001.msA:1.223
urn:cite2:hmt:msApages.v1:16v,urn:cts:greekLit:tlg0012.tlg001.msA:1.246
urn:cite2:hmt:msApages.v1:16v,urn:cts:greekLit:tlg0012.tlg001.msA:1.249
urn:cite2:hmt:msApages.v1:17r,urn:cts:greekLit:tlg0012.tlg001.msA:1.254
urn:cite2:hmt:msApages.v1:17v,urn:cts:greekLit:tlg0012.tlg001.msA:1.286
urn:cite2:hmt:msApages.v1:17v,urn:cts:greekLit:tlg0012.tlg001.msA:1.292
urn:cite2:hmt:msApages.v1:18r,urn:cts:greekLit:tlg0012.tlg001.msA:1.304
urn:cite2:hmt:msApages.v1:18r,urn:cts:greekLit:tlg0012.tlg001.msA:1.318
urn:cite2:hmt:msApages.v1:18r,urn:cts:greekLit:tlg0012.tlg001.msA:1.326
urn:cite2:hmt:msApages.v1:18v,urn:cts:greekLit:tlg0012.tlg001.msA:1.334
urn:cite2:hmt:msApages.v1:18v,urn:cts:greekLit:tlg0012.tlg001.msA:1.346
urn:cite2:hmt:msApages.v1:19r,urn:cts:greekLit:tlg0012.tlg001.msA:1.357
urn:cite2:hmt:msApages.v1:19r,urn:cts:greekLit:tlg0012.tlg001.msA:1.362
urn:cite2:hmt:msApages.v1:19r,urn:cts:greekLit:tlg0012.tlg001.msA:1.364
urn:cite2:hmt:msApages.v1:20r,urn:cts:greekLit:tlg0012.tlg001.msA:1.413
urn:cite2:hmt:msApages.v1:20v,urn:cts:greekLit:tlg0012.tlg001.msA:1.428
urn:cite2:hmt:msApages.v1:20v,urn:cts:greekLit:tlg0012.tlg001.msA:1.442
urn:cite2:hmt:msApages.v1:20v,urn:cts:greekLit:tlg0012.tlg001.msA:1.446
urn:cite2:hmt:msApages.v1:21r,urn:cts:greekLit:tlg0012.tlg001.msA:1.457
urn:cite2:hmt:msApages.v1:21v,urn:cts:greekLit:tlg0012.tlg001.msA:1.484
urn:cite2:hmt:msApages.v1:21v,urn:cts:greekLit:tlg0012.tlg001.msA:1.488
urn:cite2:hmt:msApages.v1:21v,urn:cts:greekLit:tlg0012.tlg001.msA:1.493
urn:cite2:hmt:msApages.v1:22r,urn:cts:greekLit:tlg0012.tlg001.msA:1.503
urn:cite2:hmt:msApages.v1:22r,urn:cts:greekLit:tlg0012.tlg001.msA:1.511
urn:cite2:hmt:msApages.v1:22r,urn:cts:greekLit:tlg0012.tlg001.msA:1.514
urn:cite2:hmt:msApages.v1:22r,urn:cts:greekLit:tlg0012.tlg001.msA:1.517
urn:cite2:hmt:msApages.v1:22v,urn:cts:greekLit:tlg0012.tlg001.msA:1.528
urn:cite2:hmt:msApages.v1:22v,urn:cts:greekLit:tlg0012.tlg001.msA:1.540
