urn:cite2:hmt:msA.v1:Page,IliadLine
urn:cite2:hmt:msA.v1:12r,urn:cts:greekLit:tlg0012.tlg001:1.1-1.32
urn:cite2:hmt:msA.v1:12v,urn:cts:greekLit:tlg0012.tlg001:1.33-1.42
urn:cite2:hmt:msA.v1:12v,urn:cts:greekLit:tlg0012.tlg001:1.43-1.52
urn:cite2:hmt:msA.v1:13r,urn:cts:greekLit:tlg0012.tlg001:1.53-1.58
urn:cite2:hmt:msA.v1:13r,urn:cts:greekLit:tlg0012.tlg001:1.59-1.67
urn:cite2:hmt:msA.v1:13r,urn:cts:greekLit:tlg0012.tlg001:1.68-1.73
urn:cite2:hmt:msA.v1:13r,urn:cts:greekLit:tlg0012.tlg001:1.74-1.75
urn:cite2:hmt:msA.v1:13v,urn:cts:greekLit:tlg0012.tlg001:1.76-1.84
urn:cite2:hmt:msA.v1:13v,urn:cts:greekLit:tlg0012.tlg001:1.85-1.105
urn:cite2:hmt:msA.v1:14r,urn:cts:greekLit:tlg0012.tlg001:1.106-1.120
urn:cite2:hmt:msA.v1:14r,urn:cts:greekLit:tlg0012.tlg001:1.121-1.129
urn:cite2:hmt:msA.v1:14v,urn:cts:greekLit:tlg0012.tlg001:1.130-1.147
urn:cite2:hmt:msA.v1:14v,urn:cts:greekLit:tlg0012.tlg001:1.148-1.171
urn:cite2:hmt:msA.v1:15r,urn:cts:greekLit:tlg0012.tlg001:1.172-1.187
urn:cite2:hmt:msA.v1:15v,urn:cts:greekLit:tlg0012.tlg001:1.188-1.205
urn:cite2:hmt:msA.v1:16r,urn:cts:greekLit:tlg0012.tlg001:1.206-1.214
urn:cite2:hmt:msA.v1:16r,urn:cts:greekLit:tlg0012.tlg001:1.215-1.219
urn:cite2:hmt:msA.v1:16r,urn:cts:greekLit:tlg0012.tlg001:1.219-1.222
urn:cite2:hmt:msA.v1:16r,urn:cts:greekLit:tlg0012.tlg001:1.223-1.245
urn:cite2:hmt:msA.v1:16v,urn:cts:greekLit:tlg0012.tlg001:1.246-1.248
urn:cite2:hmt:msA.v1:16v,urn:cts:greekLit:tlg0012.tlg001:1.249-1.253
urn:cite2:hmt:msA.v1:17r,urn:cts:greekLit:tlg0012.tlg001:1.254-1.285
urn:cite2:hmt:msA.v1:17v,urn:cts:greekLit:tlg0012.tlg001:1.286-1.291
urn:cite2:hmt:msA.v1:17v,urn:cts:greekLit:tlg0012.tlg001:1.292-1.303
urn:cite2:hmt:msA.v1:18r,urn:cts:greekLit:tlg0012.tlg001:1.304-1.317
